VaccinationDate,age_group,first_dose,second_dose,third_dose
2021-01-19,70-79,1970,32866,0
2021-01-19,60-69,3916,39368,0
2021-01-19,50-59,14172,15481,0
2021-01-19,80-89,868,15065,0
2021-01-19,30-39,9145,9613,0
2021-01-19,0-19,3132,1104,0
2021-01-19,20-29,14027,6697,0
2021-01-19,90+,203,3847,0
2021-01-19,40-49,25357,13689,0
2021-01-20,60-69,3665,40115,0
2021-01-20,50-59,12902,18697,0
2021-01-20,80-89,818,14388,0
2021-01-20,90+,143,3383,0
2021-01-20,40-49,29712,14846,0
2021-01-20,20-29,12064,7893,0
2021-01-20,70-79,1836,32206,0
2021-01-20,30-39,12699,10789,0
2021-01-20,0-19,2935,1334,0
2021-01-21,90+,213,4016,0
2021-01-21,80-89,993,15741,0
2021-01-21,60-69,3864,41948,0
2021-01-21,30-39,13695,13548,0
2021-01-21,70-79,2073,32952,0
2021-01-21,20-29,9627,9674,0
2021-01-21,50-59,11086,25768,0
2021-01-21,0-19,2280,1739,0
2021-01-21,40-49,26054,18922,0
2021-01-22,20-29,3882,3067,0
2021-01-22,30-39,8130,5550,0
2021-01-22,70-79,937,13720,0
2021-01-22,80-89,508,6330,0
2021-01-22,90+,115,1505,0
2021-01-22,40-49,15364,8667,0
2021-01-22,0-19,1222,723,0
2021-01-22,60-69,2086,18525,0
2021-01-22,50-59,5602,12979,0
2021-01-23,80-89,386,4946,0
2021-01-23,50-59,5960,11317,0
2021-01-23,70-79,808,9405,0
2021-01-23,30-39,6363,3780,0
2021-01-23,90+,106,1493,0
2021-01-23,60-69,1581,12438,0
2021-01-23,20-29,3487,2160,0
2021-01-23,0-19,6653,482,0
2021-01-23,40-49,14572,7523,0
2021-01-24,0-19,12158,1764,0
2021-01-24,40-49,19967,18019,0
2021-01-24,70-79,1964,24552,0
2021-01-24,20-29,11038,8685,0
2021-01-24,50-59,8494,27026,0
2021-01-24,60-69,3636,33287,0
2021-01-24,30-39,10565,11727,0
2021-01-24,80-89,1005,12566,0
2021-01-24,90+,221,2993,0
2021-01-25,80-89,1009,11807,0
2021-01-25,90+,251,2575,0
2021-01-25,40-49,20487,20123,0
2021-01-25,70-79,2077,22797,0
2021-01-25,20-29,15504,9266,0
2021-01-25,0-19,14698,1864,0
2021-01-25,30-39,13367,12372,0
2021-01-25,60-69,3879,30384,0
2021-01-25,50-59,9571,28238,0
2021-01-26,0-19,14431,1763,0
2021-01-26,20-29,15562,8335,0
2021-01-26,40-49,19430,18274,0
2021-01-26,30-39,14183,11275,0
2021-01-26,70-79,1962,20409,0
2021-01-26,50-59,8400,25243,0
2021-01-26,90+,237,2237,0
2021-01-26,60-69,3497,28382,0
2021-01-26,80-89,933,10410,0
2021-01-27,20-29,14357,10241,0
2021-01-27,70-79,1743,19466,0
2021-01-27,50-59,8430,23772,0
2021-01-27,30-39,13650,11186,0
2021-01-27,80-89,851,10045,0
2021-01-27,90+,229,2276,0
2021-01-27,40-49,19649,17574,0
2021-01-27,0-19,15738,2089,0
2021-01-27,60-69,3223,28309,0
2021-01-28,90+,173,1925,0
2021-01-28,70-79,1521,18149,0
2021-01-28,80-89,680,8931,0
2021-01-28,50-59,7572,27727,0
2021-01-28,30-39,20219,13082,0
2021-01-28,20-29,15980,9901,0
2021-01-28,0-19,13372,2125,0
2021-01-28,60-69,2990,27700,0
2021-01-28,40-49,16972,20990,0
2021-01-29,40-49,8749,14192,0
2021-01-29,70-79,538,6923,0
2021-01-29,0-19,5631,1585,0
2021-01-29,20-29,5984,4947,0
2021-01-29,60-69,1247,11250,0
2021-01-29,90+,42,626,0
2021-01-29,30-39,10688,7803,0
2021-01-29,80-89,264,3161,0
2021-01-29,50-59,3481,14258,0
2021-01-30,80-89,176,1809,0
2021-01-30,70-79,458,3815,0
2021-01-30,20-29,5171,3130,0
2021-01-30,50-59,3144,9673,0
2021-01-30,40-49,8817,10625,0
2021-01-30,0-19,4980,906,0
2021-01-30,60-69,993,6571,0
2021-01-30,90+,30,391,0
2021-01-30,30-39,10588,5813,0
2021-01-31,70-79,1561,6969,0
2021-01-31,40-49,16123,12504,0
2021-01-31,80-89,680,3534,0
2021-01-31,60-69,2960,10826,0
2021-01-31,90+,168,741,0
2021-01-31,0-19,9552,1048,0
2021-01-31,30-39,21661,7542,0
2021-01-31,20-29,13344,4355,0
2021-01-31,50-59,7232,11937,0
2021-02-01,60-69,3064,5104,0
2021-02-01,90+,229,378,0
2021-02-01,0-19,10350,579,0
2021-02-01,70-79,1734,3400,0
2021-02-01,50-59,7595,7764,0
2021-02-01,30-39,24219,5038,0
2021-02-01,40-49,14861,8332,0
2021-02-01,20-29,19540,3042,0
2021-02-01,80-89,845,1667,0
2021-02-02,80-89,895,1400,0
2021-02-02,0-19,8628,439,0
2021-02-02,90+,244,292,0
